Country Code,Country Name,Indicator Name,Number of Records,Year,Number of Homicides per 10000
CPV,Cabo Verde,"Intentional homicides (per 100,000 people)",1,1960,
KHM,Cambodia,"Intentional homicides (per 100,000 people)",1,1960,
CMR,Cameroon,"Intentional homicides (per 100,000 people)",1,1960,
CAN,Canada,"Intentional homicides (per 100,000 people)",1,1960,
CYM,Cayman Islands,"Intentional homicides (per 100,000 people)",1,1960,
CAF,Central African Republic,"Intentional homicides (per 100,000 people)",1,1960,
TCD,Chad,"Intentional homicides (per 100,000 people)",1,1960,
CHI,Channel Islands,"Intentional homicides (per 100,000 people)",1,1960,
CHL,Chile,"Intentional homicides (per 100,000 people)",1,1960,
CHN,China,"Intentional homicides (per 100,000 people)",1,1960,
COL,Colombia,"Intentional homicides (per 100,000 people)",1,1960,
COM,Comoros,"Intentional homicides (per 100,000 people)",1,1960,
COD,"Congo, Dem. Rep.","Intentional homicides (per 100,000 people)",1,1960,
COG,"Congo, Rep.","Intentional homicides (per 100,000 people)",1,1960,
CRI,Costa Rica,"Intentional homicides (per 100,000 people)",1,1960,
CIV,Cote d'Ivoire,"Intentional homicides (per 100,000 people)",1,1960,
HRV,Croatia,"Intentional homicides (per 100,000 people)",1,1960,
CUB,Cuba,"Intentional homicides (per 100,000 people)",1,1960,
CUW,Curacao,"Intentional homicides (per 100,000 people)",1,1960,
CYP,Cyprus,"Intentional homicides (per 100,000 people)",1,1960,
CZE,Czech Republic,"Intentional homicides (per 100,000 people)",1,1960,
DNK,Denmark,"Intentional homicides (per 100,000 people)",1,1960,
DJI,Djibouti,"Intentional homicides (per 100,000 people)",1,1960,
DMA,Dominica,"Intentional homicides (per 100,000 people)",1,1960,
DOM,Dominican Republic,"Intentional homicides (per 100,000 people)",1,1960,
ECU,Ecuador,"Intentional homicides (per 100,000 people)",1,1960,
EGY,"Egypt, Arab Rep.","Intentional homicides (per 100,000 people)",1,1960,
SLV,El Salvador,"Intentional homicides (per 100,000 people)",1,1960,
GNQ,Equatorial Guinea,"Intentional homicides (per 100,000 people)",1,1960,
ERI,Eritrea,"Intentional homicides (per 100,000 people)",1,1960,
EST,Estonia,"Intentional homicides (per 100,000 people)",1,1960,
SWZ,Eswatini,"Intentional homicides (per 100,000 people)",1,1960,
ETH,Ethiopia,"Intentional homicides (per 100,000 people)",1,1960,
FRO,Faroe Islands,"Intentional homicides (per 100,000 people)",1,1960,
FJI,Fiji,"Intentional homicides (per 100,000 people)",1,1960,
FIN,Finland,"Intentional homicides (per 100,000 people)",1,1960,
FRA,France,"Intentional homicides (per 100,000 people)",1,1960,
PYF,French Polynesia,"Intentional homicides (per 100,000 people)",1,1960,
GAB,Gabon,"Intentional homicides (per 100,000 people)",1,1960,
GMB,"Gambia, The","Intentional homicides (per 100,000 people)",1,1960,
GEO,Georgia,"Intentional homicides (per 100,000 people)",1,1960,
DEU,Germany,"Intentional homicides (per 100,000 people)",1,1960,
GHA,Ghana,"Intentional homicides (per 100,000 people)",1,1960,
GIB,Gibraltar,"Intentional homicides (per 100,000 people)",1,1960,
GRC,Greece,"Intentional homicides (per 100,000 people)",1,1960,
GRL,Greenland,"Intentional homicides (per 100,000 people)",1,1960,
GRD,Grenada,"Intentional homicides (per 100,000 people)",1,1960,
GUM,Guam,"Intentional homicides (per 100,000 people)",1,1960,
GTM,Guatemala,"Intentional homicides (per 100,000 people)",1,1960,
GIN,Guinea,"Intentional homicides (per 100,000 people)",1,1960,
GNB,Guinea-Bissau,"Intentional homicides (per 100,000 people)",1,1960,
GUY,Guyana,"Intentional homicides (per 100,000 people)",1,1960,
HTI,Haiti,"Intentional homicides (per 100,000 people)",1,1960,
HND,Honduras,"Intentional homicides (per 100,000 people)",1,1960,
HKG,"Hong Kong SAR, China","Intentional homicides (per 100,000 people)",1,1960,
HUN,Hungary,"Intentional homicides (per 100,000 people)",1,1960,
ISL,Iceland,"Intentional homicides (per 100,000 people)",1,1960,
IND,India,"Intentional homicides (per 100,000 people)",1,1960,
IDN,Indonesia,"Intentional homicides (per 100,000 people)",1,1960,
IRN,"Iran, Islamic Rep.","Intentional homicides (per 100,000 people)",1,1960,
IRQ,Iraq,"Intentional homicides (per 100,000 people)",1,1960,
IRL,Ireland,"Intentional homicides (per 100,000 people)",1,1960,
IMN,Isle of Man,"Intentional homicides (per 100,000 people)",1,1960,
ISR,Israel,"Intentional homicides (per 100,000 people)",1,1960,
ITA,Italy,"Intentional homicides (per 100,000 people)",1,1960,
JAM,Jamaica,"Intentional homicides (per 100,000 people)",1,1960,
JPN,Japan,"Intentional homicides (per 100,000 people)",1,1960,
JOR,Jordan,"Intentional homicides (per 100,000 people)",1,1960,
KAZ,Kazakhstan,"Intentional homicides (per 100,000 people)",1,1960,
KEN,Kenya,"Intentional homicides (per 100,000 people)",1,1960,
KIR,Kiribati,"Intentional homicides (per 100,000 people)",1,1960,
PRK,"Korea, Dem. People’s Rep.","Intentional homicides (per 100,000 people)",1,1960,
KOR,"Korea, Rep.","Intentional homicides (per 100,000 people)",1,1960,
XKX,Kosovo,"Intentional homicides (per 100,000 people)",1,1960,
KWT,Kuwait,"Intentional homicides (per 100,000 people)",1,1960,
KGZ,Kyrgyz Republic,"Intentional homicides (per 100,000 people)",1,1960,
LAO,Lao PDR,"Intentional homicides (per 100,000 people)",1,1960,
LVA,Latvia,"Intentional homicides (per 100,000 people)",1,1960,
LBN,Lebanon,"Intentional homicides (per 100,000 people)",1,1960,
LSO,Lesotho,"Intentional homicides (per 100,000 people)",1,1960,
LBR,Liberia,"Intentional homicides (per 100,000 people)",1,1960,
LBY,Libya,"Intentional homicides (per 100,000 people)",1,1960,
LIE,Liechtenstein,"Intentional homicides (per 100,000 people)",1,1960,
LTU,Lithuania,"Intentional homicides (per 100,000 people)",1,1960,
LUX,Luxembourg,"Intentional homicides (per 100,000 people)",1,1960,
MAC,"Macao SAR, China","Intentional homicides (per 100,000 people)",1,1960,
MDG,Madagascar,"Intentional homicides (per 100,000 people)",1,1960,
MWI,Malawi,"Intentional homicides (per 100,000 people)",1,1960,
MYS,Malaysia,"Intentional homicides (per 100,000 people)",1,1960,
MDV,Maldives,"Intentional homicides (per 100,000 people)",1,1960,
MLI,Mali,"Intentional homicides (per 100,000 people)",1,1960,
MLT,Malta,"Intentional homicides (per 100,000 people)",1,1960,
MHL,Marshall Islands,"Intentional homicides (per 100,000 people)",1,1960,
MRT,Mauritania,"Intentional homicides (per 100,000 people)",1,1960,
MUS,Mauritius,"Intentional homicides (per 100,000 people)",1,1960,
MEX,Mexico,"Intentional homicides (per 100,000 people)",1,1960,
FSM,"Micronesia, Fed. Sts.","Intentional homicides (per 100,000 people)",1,1960,
MDA,Moldova,"Intentional homicides (per 100,000 people)",1,1960,
MCO,Monaco,"Intentional homicides (per 100,000 people)",1,1960,
MNG,Mongolia,"Intentional homicides (per 100,000 people)",1,1960,
MNE,Montenegro,"Intentional homicides (per 100,000 people)",1,1960,
MAR,Morocco,"Intentional homicides (per 100,000 people)",1,1960,
MOZ,Mozambique,"Intentional homicides (per 100,000 people)",1,1960,
MMR,Myanmar,"Intentional homicides (per 100,000 people)",1,1960,
NAM,Namibia,"Intentional homicides (per 100,000 people)",1,1960,
NRU,Nauru,"Intentional homicides (per 100,000 people)",1,1960,
NPL,Nepal,"Intentional homicides (per 100,000 people)",1,1960,
NLD,Netherlands,"Intentional homicides (per 100,000 people)",1,1960,
NCL,New Caledonia,"Intentional homicides (per 100,000 people)",1,1960,
NZL,New Zealand,"Intentional homicides (per 100,000 people)",1,1960,
NIC,Nicaragua,"Intentional homicides (per 100,000 people)",1,1960,
NER,Niger,"Intentional homicides (per 100,000 people)",1,1960,
NGA,Nigeria,"Intentional homicides (per 100,000 people)",1,1960,
MKD,North Macedonia,"Intentional homicides (per 100,000 people)",1,1960,
MNP,Northern Mariana Islands,"Intentional homicides (per 100,000 people)",1,1960,
NOR,Norway,"Intentional homicides (per 100,000 people)",1,1960,
OMN,Oman,"Intentional homicides (per 100,000 people)",1,1960,
PAK,Pakistan,"Intentional homicides (per 100,000 people)",1,1960,
PLW,Palau,"Intentional homicides (per 100,000 people)",1,1960,
PAN,Panama,"Intentional homicides (per 100,000 people)",1,1960,
PNG,Papua New Guinea,"Intentional homicides (per 100,000 people)",1,1960,
PRY,Paraguay,"Intentional homicides (per 100,000 people)",1,1960,
PER,Peru,"Intentional homicides (per 100,000 people)",1,1960,
PHL,Philippines,"Intentional homicides (per 100,000 people)",1,1960,
POL,Poland,"Intentional homicides (per 100,000 people)",1,1960,
PRT,Portugal,"Intentional homicides (per 100,000 people)",1,1960,
PRI,Puerto Rico,"Intentional homicides (per 100,000 people)",1,1960,
QAT,Qatar,"Intentional homicides (per 100,000 people)",1,1960,
ROU,Romania,"Intentional homicides (per 100,000 people)",1,1960,
RUS,Russian Federation,"Intentional homicides (per 100,000 people)",1,1960,
RWA,Rwanda,"Intentional homicides (per 100,000 people)",1,1960,
WSM,Samoa,"Intentional homicides (per 100,000 people)",1,1960,
SMR,San Marino,"Intentional homicides (per 100,000 people)",1,1960,
STP,Sao Tome and Principe,"Intentional homicides (per 100,000 people)",1,1960,
SAU,Saudi Arabia,"Intentional homicides (per 100,000 people)",1,1960,
SEN,Senegal,"Intentional homicides (per 100,000 people)",1,1960,
SRB,Serbia,"Intentional homicides (per 100,000 people)",1,1960,
SYC,Seychelles,"Intentional homicides (per 100,000 people)",1,1960,
SLE,Sierra Leone,"Intentional homicides (per 100,000 people)",1,1960,
SGP,Singapore,"Intentional homicides (per 100,000 people)",1,1960,
SXM,Sint Maarten (Dutch part),"Intentional homicides (per 100,000 people)",1,1960,
SVK,Slovak Republic,"Intentional homicides (per 100,000 people)",1,1960,
SVN,Slovenia,"Intentional homicides (per 100,000 people)",1,1960,
SLB,Solomon Islands,"Intentional homicides (per 100,000 people)",1,1960,
SOM,Somalia,"Intentional homicides (per 100,000 people)",1,1960,
ZAF,South Africa,"Intentional homicides (per 100,000 people)",1,1960,
SSD,South Sudan,"Intentional homicides (per 100,000 people)",1,1960,
ESP,Spain,"Intentional homicides (per 100,000 people)",1,1960,
LKA,Sri Lanka,"Intentional homicides (per 100,000 people)",1,1960,
KNA,St. Kitts and Nevis,"Intentional homicides (per 100,000 people)",1,1960,
LCA,St. Lucia,"Intentional homicides (per 100,000 people)",1,1960,
MAF,St. Martin (French part),"Intentional homicides (per 100,000 people)",1,1960,
VCT,St. Vincent and the Grenadines,"Intentional homicides (per 100,000 people)",1,1960,
SDN,Sudan,"Intentional homicides (per 100,000 people)",1,1960,
SUR,Suriname,"Intentional homicides (per 100,000 people)",1,1960,
SWE,Sweden,"Intentional homicides (per 100,000 people)",1,1960,
CHE,Switzerland,"Intentional homicides (per 100,000 people)",1,1960,
SYR,Syrian Arab Republic,"Intentional homicides (per 100,000 people)",1,1960,
TJK,Tajikistan,"Intentional homicides (per 100,000 people)",1,1960,
TZA,Tanzania,"Intentional homicides (per 100,000 people)",1,1960,
THA,Thailand,"Intentional homicides (per 100,000 people)",1,1960,
TLS,Timor-Leste,"Intentional homicides (per 100,000 people)",1,1960,
TGO,Togo,"Intentional homicides (per 100,000 people)",1,1960,
TON,Tonga,"Intentional homicides (per 100,000 people)",1,1960,
TTO,Trinidad and Tobago,"Intentional homicides (per 100,000 people)",1,1960,
TUN,Tunisia,"Intentional homicides (per 100,000 people)",1,1960,
TUR,Turkey,"Intentional homicides (per 100,000 people)",1,1960,
TKM,Turkmenistan,"Intentional homicides (per 100,000 people)",1,1960,
TCA,Turks and Caicos Islands,"Intentional homicides (per 100,000 people)",1,1960,
TUV,Tuvalu,"Intentional homicides (per 100,000 people)",1,1960,
UGA,Uganda,"Intentional homicides (per 100,000 people)",1,1960,
UKR,Ukraine,"Intentional homicides (per 100,000 people)",1,1960,
ARE,United Arab Emirates,"Intentional homicides (per 100,000 people)",1,1960,
GBR,United Kingdom,"Intentional homicides (per 100,000 people)",1,1960,
USA,United States,"Intentional homicides (per 100,000 people)",1,1960,
URY,Uruguay,"Intentional homicides (per 100,000 people)",1,1960,
UZB,Uzbekistan,"Intentional homicides (per 100,000 people)",1,1960,
VUT,Vanuatu,"Intentional homicides (per 100,000 people)",1,1960,
VEN,"Venezuela, RB","Intentional homicides (per 100,000 people)",1,1960,
VNM,Vietnam,"Intentional homicides (per 100,000 people)",1,1960,
VIR,Virgin Islands (U.S.),"Intentional homicides (per 100,000 people)",1,1960,
PSE,West Bank and Gaza,"Intentional homicides (per 100,000 people)",1,1960,
YEM,"Yemen, Rep.","Intentional homicides (per 100,000 people)",1,1960,
ZMB,Zambia,"Intentional homicides (per 100,000 people)",1,1960,
ZWE,Zimbabwe,"Intentional homicides (per 100,000 people)",1,1960,
AFG,Afghanistan,"Intentional homicides (per 100,000 people)",1,1961,
ALB,Albania,"Intentional homicides (per 100,000 people)",1,1961,
DZA,Algeria,"Intentional homicides (per 100,000 people)",1,1961,
ASM,American Samoa,"Intentional homicides (per 100,000 people)",1,1961,
AND,Andorra,"Intentional homicides (per 100,000 people)",1,1961,
AGO,Angola,"Intentional homicides (per 100,000 people)",1,1961,
ATG,Antigua and Barbuda,"Intentional homicides (per 100,000 people)",1,1961,
ARG,Argentina,"Intentional homicides (per 100,000 people)",1,1961,
ARM,Armenia,"Intentional homicides (per 100,000 people)",1,1961,
ABW,Aruba,"Intentional homicides (per 100,000 people)",1,1961,
AUS,Australia,"Intentional homicides (per 100,000 people)",1,1961,
AUT,Austria,"Intentional homicides (per 100,000 people)",1,1961,
AZE,Azerbaijan,"Intentional homicides (per 100,000 people)",1,1961,
BHS,"Bahamas, The","Intentional homicides (per 100,000 people)",1,1961,
BHR,Bahrain,"Intentional homicides (per 100,000 people)",1,1961,
BGD,Bangladesh,"Intentional homicides (per 100,000 people)",1,1961,
BRB,Barbados,"Intentional homicides (per 100,000 people)",1,1961,
BLR,Belarus,"Intentional homicides (per 100,000 people)",1,1961,
BEL,Belgium,"Intentional homicides (per 100,000 people)",1,1961,
BLZ,Belize,"Intentional homicides (per 100,000 people)",1,1961,
BEN,Benin,"Intentional homicides (per 100,000 people)",1,1961,
BMU,Bermuda,"Intentional homicides (per 100,000 people)",1,1961,
BTN,Bhutan,"Intentional homicides (per 100,000 people)",1,1961,
BOL,Bolivia,"Intentional homicides (per 100,000 people)",1,1961,
BIH,Bosnia and Herzegovina,"Intentional homicides (per 100,000 people)",1,1961,
BWA,Botswana,"Intentional homicides (per 100,000 people)",1,1961,
BRA,Brazil,"Intentional homicides (per 100,000 people)",1,1961,
VGB,British Virgin Islands,"Intentional homicides (per 100,000 people)",1,1961,
BRN,Brunei Darussalam,"Intentional homicides (per 100,000 people)",1,1961,
BGR,Bulgaria,"Intentional homicides (per 100,000 people)",1,1961,
BFA,Burkina Faso,"Intentional homicides (per 100,000 people)",1,1961,
BDI,Burundi,"Intentional homicides (per 100,000 people)",1,1961,
CPV,Cabo Verde,"Intentional homicides (per 100,000 people)",1,1961,
KHM,Cambodia,"Intentional homicides (per 100,000 people)",1,1961,
CMR,Cameroon,"Intentional homicides (per 100,000 people)",1,1961,
CAN,Canada,"Intentional homicides (per 100,000 people)",1,1961,
CYM,Cayman Islands,"Intentional homicides (per 100,000 people)",1,1961,
CAF,Central African Republic,"Intentional homicides (per 100,000 people)",1,1961,
TCD,Chad,"Intentional homicides (per 100,000 people)",1,1961,
CHI,Channel Islands,"Intentional homicides (per 100,000 people)",1,1961,
CHL,Chile,"Intentional homicides (per 100,000 people)",1,1961,
CHN,China,"Intentional homicides (per 100,000 people)",1,1961,
COL,Colombia,"Intentional homicides (per 100,000 people)",1,1961,
COM,Comoros,"Intentional homicides (per 100,000 people)",1,1961,
COD,"Congo, Dem. Rep.","Intentional homicides (per 100,000 people)",1,1961,
COG,"Congo, Rep.","Intentional homicides (per 100,000 people)",1,1961,
CRI,Costa Rica,"Intentional homicides (per 100,000 people)",1,1961,
CIV,Cote d'Ivoire,"Intentional homicides (per 100,000 people)",1,1961,
HRV,Croatia,"Intentional homicides (per 100,000 people)",1,1961,
CUB,Cuba,"Intentional homicides (per 100,000 people)",1,1961,
CUW,Curacao,"Intentional homicides (per 100,000 people)",1,1961,
CYP,Cyprus,"Intentional homicides (per 100,000 people)",1,1961,
CZE,Czech Republic,"Intentional homicides (per 100,000 people)",1,1961,
DNK,Denmark,"Intentional homicides (per 100,000 people)",1,1961,
DJI,Djibouti,"Intentional homicides (per 100,000 people)",1,1961,
DMA,Dominica,"Intentional homicides (per 100,000 people)",1,1961,
DOM,Dominican Republic,"Intentional homicides (per 100,000 people)",1,1961,
ECU,Ecuador,"Intentional homicides (per 100,000 people)",1,1961,
EGY,"Egypt, Arab Rep.","Intentional homicides (per 100,000 people)",1,1961,
SLV,El Salvador,"Intentional homicides (per 100,000 people)",1,1961,
GNQ,Equatorial Guinea,"Intentional homicides (per 100,000 people)",1,1961,
ERI,Eritrea,"Intentional homicides (per 100,000 people)",1,1961,
EST,Estonia,"Intentional homicides (per 100,000 people)",1,1961,
SWZ,Eswatini,"Intentional homicides (per 100,000 people)",1,1961,
ETH,Ethiopia,"Intentional homicides (per 100,000 people)",1,1961,
FRO,Faroe Islands,"Intentional homicides (per 100,000 people)",1,1961,
FJI,Fiji,"Intentional homicides (per 100,000 people)",1,1961,
FIN,Finland,"Intentional homicides (per 100,000 people)",1,1961,
FRA,France,"Intentional homicides (per 100,000 people)",1,1961,
PYF,French Polynesia,"Intentional homicides (per 100,000 people)",1,1961,
GAB,Gabon,"Intentional homicides (per 100,000 people)",1,1961,
GMB,"Gambia, The","Intentional homicides (per 100,000 people)",1,1961,
GEO,Georgia,"Intentional homicides (per 100,000 people)",1,1961,
DEU,Germany,"Intentional homicides (per 100,000 people)",1,1961,
GHA,Ghana,"Intentional homicides (per 100,000 people)",1,1961,
GIB,Gibraltar,"Intentional homicides (per 100,000 people)",1,1961,
GRC,Greece,"Intentional homicides (per 100,000 people)",1,1961,
GRL,Greenland,"Intentional homicides (per 100,000 people)",1,1961,
GRD,Grenada,"Intentional homicides (per 100,000 people)",1,1961,
GUM,Guam,"Intentional homicides (per 100,000 people)",1,1961,
GTM,Guatemala,"Intentional homicides (per 100,000 people)",1,1961,
GIN,Guinea,"Intentional homicides (per 100,000 people)",1,1961,
GNB,Guinea-Bissau,"Intentional homicides (per 100,000 people)",1,1961,
GUY,Guyana,"Intentional homicides (per 100,000 people)",1,1961,
HTI,Haiti,"Intentional homicides (per 100,000 people)",1,1961,
HND,Honduras,"Intentional homicides (per 100,000 people)",1,1961,
HKG,"Hong Kong SAR, China","Intentional homicides (per 100,000 people)",1,1961,
HUN,Hungary,"Intentional homicides (per 100,000 people)",1,1961,
ISL,Iceland,"Intentional homicides (per 100,000 people)",1,1961,
IND,India,"Intentional homicides (per 100,000 people)",1,1961,
IDN,Indonesia,"Intentional homicides (per 100,000 people)",1,1961,
IRN,"Iran, Islamic Rep.","Intentional homicides (per 100,000 people)",1,1961,
IRQ,Iraq,"Intentional homicides (per 100,000 people)",1,1961,
IRL,Ireland,"Intentional homicides (per 100,000 people)",1,1961,
IMN,Isle of Man,"Intentional homicides (per 100,000 people)",1,1961,
ISR,Israel,"Intentional homicides (per 100,000 people)",1,1961,
ITA,Italy,"Intentional homicides (per 100,000 people)",1,1961,
JAM,Jamaica,"Intentional homicides (per 100,000 people)",1,1961,
JPN,Japan,"Intentional homicides (per 100,000 people)",1,1961,
JOR,Jordan,"Intentional homicides (per 100,000 people)",1,1961,
KAZ,Kazakhstan,"Intentional homicides (per 100,000 people)",1,1961,
KEN,Kenya,"Intentional homicides (per 100,000 people)",1,1961,
KIR,Kiribati,"Intentional homicides (per 100,000 people)",1,1961,
PRK,"Korea, Dem. People’s Rep.","Intentional homicides (per 100,000 people)",1,1961,
KOR,"Korea, Rep.","Intentional homicides (per 100,000 people)",1,1961,
XKX,Kosovo,"Intentional homicides (per 100,000 people)",1,1961,
KWT,Kuwait,"Intentional homicides (per 100,000 people)",1,1961,
KGZ,Kyrgyz Republic,"Intentional homicides (per 100,000 people)",1,1961,
LAO,Lao PDR,"Intentional homicides (per 100,000 people)",1,1961,
LVA,Latvia,"Intentional homicides (per 100,000 people)",1,1961,
LBN,Lebanon,"Intentional homicides (per 100,000 people)",1,1961,
LSO,Lesotho,"Intentional homicides (per 100,000 people)",1,1961,
LBR,Liberia,"Intentional homicides (per 100,000 people)",1,1961,
LBY,Libya,"Intentional homicides (per 100,000 people)",1,1961,
LIE,Liechtenstein,"Intentional homicides (per 100,000 people)",1,1961,
LTU,Lithuania,"Intentional homicides (per 100,000 people)",1,1961,
LUX,Luxembourg,"Intentional homicides (per 100,000 people)",1,1961,
MAC,"Macao SAR, China","Intentional homicides (per 100,000 people)",1,1961,
MDG,Madagascar,"Intentional homicides (per 100,000 people)",1,1961,
MWI,Malawi,"Intentional homicides (per 100,000 people)",1,1961,
MYS,Malaysia,"Intentional homicides (per 100,000 people)",1,1961,
MDV,Maldives,"Intentional homicides (per 100,000 people)",1,1961,
MLI,Mali,"Intentional homicides (per 100,000 people)",1,1961,
MLT,Malta,"Intentional homicides (per 100,000 people)",1,1961,
MHL,Marshall Islands,"Intentional homicides (per 100,000 people)",1,1961,
MRT,Mauritania,"Intentional homicides (per 100,000 people)",1,1961,
MUS,Mauritius,"Intentional homicides (per 100,000 people)",1,1961,
MEX,Mexico,"Intentional homicides (per 100,000 people)",1,1961,
FSM,"Micronesia, Fed. Sts.","Intentional homicides (per 100,000 people)",1,1961,
MDA,Moldova,"Intentional homicides (per 100,000 people)",1,1961,
MCO,Monaco,"Intentional homicides (per 100,000 people)",1,1961,
MNG,Mongolia,"Intentional homicides (per 100,000 people)",1,1961,
MNE,Montenegro,"Intentional homicides (per 100,000 people)",1,1961,
MAR,Morocco,"Intentional homicides (per 100,000 people)",1,1961,
MOZ,Mozambique,"Intentional homicides (per 100,000 people)",1,1961,
MMR,Myanmar,"Intentional homicides (per 100,000 people)",1,1961,
NAM,Namibia,"Intentional homicides (per 100,000 people)",1,1961,
NRU,Nauru,"Intentional homicides (per 100,000 people)",1,1961,
NPL,Nepal,"Intentional homicides (per 100,000 people)",1,1961,
NLD,Netherlands,"Intentional homicides (per 100,000 people)",1,1961,
NCL,New Caledonia,"Intentional homicides (per 100,000 people)",1,1961,
NZL,New Zealand,"Intentional homicides (per 100,000 people)",1,1961,
NIC,Nicaragua,"Intentional homicides (per 100,000 people)",1,1961,
NER,Niger,"Intentional homicides (per 100,000 people)",1,1961,
NGA,Nigeria,"Intentional homicides (per 100,000 people)",1,1961,
MKD,North Macedonia,"Intentional homicides (per 100,000 people)",1,1961,
MNP,Northern Mariana Islands,"Intentional homicides (per 100,000 people)",1,1961,
NOR,Norway,"Intentional homicides (per 100,000 people)",1,1961,
OMN,Oman,"Intentional homicides (per 100,000 people)",1,1961,
PAK,Pakistan,"Intentional homicides (per 100,000 people)",1,1961,
PLW,Palau,"Intentional homicides (per 100,000 people)",1,1961,
PAN,Panama,"Intentional homicides (per 100,000 people)",1,1961,
PNG,Papua New Guinea,"Intentional homicides (per 100,000 people)",1,1961,
PRY,Paraguay,"Intentional homicides (per 100,000 people)",1,1961,
PER,Peru,"Intentional homicides (per 100,000 people)",1,1961,
PHL,Philippines,"Intentional homicides (per 100,000 people)",1,1961,
POL,Poland,"Intentional homicides (per 100,000 people)",1,1961,
PRT,Portugal,"Intentional homicides (per 100,000 people)",1,1961,
PRI,Puerto Rico,"Intentional homicides (per 100,000 people)",1,1961,
QAT,Qatar,"Intentional homicides (per 100,000 people)",1,1961,
ROU,Romania,"Intentional homicides (per 100,000 people)",1,1961,
RUS,Russian Federation,"Intentional homicides (per 100,000 people)",1,1961,
RWA,Rwanda,"Intentional homicides (per 100,000 people)",1,1961,
WSM,Samoa,"Intentional homicides (per 100,000 people)",1,1961,
SMR,San Marino,"Intentional homicides (per 100,000 people)",1,1961,
STP,Sao Tome and Principe,"Intentional homicides (per 100,000 people)",1,1961,
SAU,Saudi Arabia,"Intentional homicides (per 100,000 people)",1,1961,
SEN,Senegal,"Intentional homicides (per 100,000 people)",1,1961,
SRB,Serbia,"Intentional homicides (per 100,000 people)",1,1961,
SYC,Seychelles,"Intentional homicides (per 100,000 people)",1,1961,
SLE,Sierra Leone,"Intentional homicides (per 100,000 people)",1,1961,
SGP,Singapore,"Intentional homicides (per 100,000 people)",1,1961,
SXM,Sint Maarten (Dutch part),"Intentional homicides (per 100,000 people)",1,1961,
SVK,Slovak Republic,"Intentional homicides (per 100,000 people)",1,1961,
SVN,Slovenia,"Intentional homicides (per 100,000 people)",1,1961,
SLB,Solomon Islands,"Intentional homicides (per 100,000 people)",1,1961,
SOM,Somalia,"Intentional homicides (per 100,000 people)",1,1961,
ZAF,South Africa,"Intentional homicides (per 100,000 people)",1,1961,
SSD,South Sudan,"Intentional homicides (per 100,000 people)",1,1961,
ESP,Spain,"Intentional homicides (per 100,000 people)",1,1961,
LKA,Sri Lanka,"Intentional homicides (per 100,000 people)",1,1961,
KNA,St. Kitts and Nevis,"Intentional homicides (per 100,000 people)",1,1961,
LCA,St. Lucia,"Intentional homicides (per 100,000 people)",1,1961,
MAF,St. Martin (French part),"Intentional homicides (per 100,000 people)",1,1961,
VCT,St. Vincent and the Grenadines,"Intentional homicides (per 100,000 people)",1,1961,
SDN,Sudan,"Intentional homicides (per 100,000 people)",1,1961,
SUR,Suriname,"Intentional homicides (per 100,000 people)",1,1961,
SWE,Sweden,"Intentional homicides (per 100,000 people)",1,1961,
